question,category,difficulty,ground_truth_sql,generated_sql,expected,actual,match,generation_time,error
전체 총 매출은 얼마인가요?,revenue_analysis,초급,"SELECT ROUND(SUM(amount), 2) FROM payment;",SELECT SUM(amount) AS total_revenue FROM payment;,61312.04,61312.04,True,1.3270950317382812,
고객의 평균 결제 금액은 얼마인가요?,revenue_analysis,초급,"SELECT ROUND(AVG(amount), 2) FROM payment;",SELECT AVG(amount) AS average_payment FROM payment;,4.20,4.2006056453822965,False,1.0111796855926514,
일별 평균 매출액은?,revenue_analysis,중급,"SELECT ROUND(AVG(daily_revenue), 2) FROM (SELECT DATE(payment_date) as date, SUM(amount) as daily_revenue FROM payment GROUP BY DATE(payment_date)) sub;","SELECT DATE(payment_date) AS date, AVG(amount) AS average_daily_revenue
FROM payment
GROUP BY DATE(payment_date);",1916.00,2007-02-14,False,1.384331226348877,
매출 상위 10% 고객들이 전체 매출에서 차지하는 비율은?,revenue_analysis,고급,"WITH customer_revenue AS (SELECT customer_id, SUM(amount) as total FROM payment GROUP BY customer_id ORDER BY total DESC), top_10_percent AS (SELECT * FROM customer_revenue LIMIT (SELECT CAST(COUNT(*) * 0.1 AS INT) FROM customer_revenue)) SELECT ROUND(SUM(total) * 100.0 / (SELECT SUM(amount) FROM payment), 2) as contribution_pct FROM top_10_percent;","SELECT SUM(p.amount) * 0.1 / SUM(SUM(p.amount)) OVER () AS top_10_percent_ratio
FROM payment p
WHERE p.customer_id IN (
    SELECT customer_id
    FROM payment
    ORDER BY amount DESC
    LIMIT (SELECT COUNT(DISTINCT customer_id) * 0.1 FROM payment)
);",14.77,0.10000000000000000000,False,2.385399103164673,
결제 금액이 가장 높은 거래 TOP 5는?,revenue_analysis,초급,"SELECT payment_id, customer_id, amount, payment_date FROM payment ORDER BY amount DESC LIMIT 5;",SELECT * FROM payment ORDER BY amount DESC LIMIT 5;,23757,23757,True,1.3515253067016602,
어떤 장르가 가장 많은 매출을 올렸나요?,revenue_analysis,중급,"SELECT c.name, ROUND(SUM(p.amount), 2) as revenue FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON fc.film_id = f.film_id JOIN inventory i ON f.film_id = i.film_id JOIN rental r ON i.inventory_id = r.inventory_id JOIN payment p ON r.rental_id = p.rental_id GROUP BY c.name ORDER BY revenue DESC LIMIT 1;","SELECT c.name, SUM(p.amount) AS total_revenue
FROM category c
JOIN film_category fc ON c.category_id = fc.category_id
JOIN film f ON fc.film_id = f.film_id
JOIN inventory i ON f.film_id = i.film_id
JOIN rental r ON i.inventory_id = r.inventory_id
JOIN payment p ON r.rental_id = p.rental_id
GROUP BY c.name
ORDER BY total_revenue DESC
LIMIT 1;",Sports,Sports,True,2.5203115940093994,
매출이 가장 낮은 카테고리 3개는?,revenue_analysis,중급,"SELECT c.name, ROUND(SUM(p.amount), 2) as revenue FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON fc.film_id = f.film_id JOIN inventory i ON f.film_id = i.film_id JOIN rental r ON i.inventory_id = r.inventory_id JOIN payment p ON r.rental_id = p.rental_id GROUP BY c.name ORDER BY revenue ASC LIMIT 3;","SELECT c.name, SUM(p.amount) AS total_sales
FROM category c
JOIN film_category fc ON c.category_id = fc.category_id
JOIN film f ON fc.film_id = f.film_id
JOIN inventory i ON f.film_id = i.film_id
JOIN rental r ON i.inventory_id = r.inventory_id
JOIN payment p ON r.rental_id = p.rental_id
GROUP BY c.name
ORDER BY total_sales ASC
LIMIT 3;",Music,Music,True,2.9730050563812256,
VIP 고객(총 결제액 상위 5%) 명단을 보여주세요,customer_analysis,중급,"SELECT c.customer_id, c.first_name || ' ' || c.last_name as name, ROUND(SUM(p.amount), 2) as total_spent FROM customer c JOIN payment p ON c.customer_id = p.customer_id GROUP BY c.customer_id, c.first_name, c.last_name ORDER BY total_spent DESC LIMIT (SELECT CAST(COUNT(DISTINCT customer_id) * 0.05 AS INT) FROM payment);","SELECT actor.first_name, actor.last_name
FROM actor
JOIN film_actor ON actor.actor_id = film_actor.actor_id
JOIN film ON film_actor.film_id = film.film_id
JOIN inventory ON film.film_id = inventory.film_id
JOIN rental ON inventory.inventory_id = rental.inventory_id
JOIN payment ON rental.rental_id = payment.rental_id
GROUP BY actor.actor_id
HAVING SUM(payment.amount) > (SELECT PERCENTILE_CONT(0.95) WITHIN GROUP (ORDER BY total_amount) FROM (SELECT SUM(payment.amount) AS total_amount FROM payment GROUP BY payment.customer_id) AS subquery);",148,Christian,False,3.7921502590179443,
한 번만 대여하고 이탈한 고객은 몇 명인가요?,customer_analysis,중급,SELECT COUNT(*) FROM customer c WHERE (SELECT COUNT(*) FROM rental r WHERE r.customer_id = c.customer_id) = 1;,"SELECT COUNT(DISTINCT r.customer_id) AS one_time_customers
FROM rental r
GROUP BY r.customer_id
HAVING COUNT(r.rental_id) = 1;",0,,False,1.9115574359893799,
이메일 주소에 'gmail'이 포함된 고객은 몇 명인가요?,customer_analysis,초급,SELECT COUNT(*) FROM customer WHERE email LIKE '%gmail%';,"SELECT COUNT(*) 
FROM customer 
WHERE email LIKE '%gmail%';",0,0,True,1.1731410026550293,
