question,sql,expected,actual,match,exact_match,error
배우는 총 몇 명인가요?,SELECT COUNT(*) FROM actor;,200,200,True,True,
고객은 총 몇 명인가요?,SELECT COUNT(*) FROM customer;,599,599,True,True,
영화는 총 몇 편인가요?,SELECT COUNT(*) FROM film;,1000,1000,True,True,
전체 대여 건수는?,SELECT COUNT(*) FROM rental;,16044,16044,True,True,
전체 매출은 얼마인가요?,"SELECT ROUND(SUM(amount), 2) FROM payment;",61312.04,61312.04,True,True,
활성 고객은 몇 명인가요?,SELECT COUNT(*) FROM customer WHERE active = 1;,584,584,True,True,
반납되지 않은 대여 건수는?,SELECT COUNT(*) FROM rental WHERE return_date IS NULL;,183,183,True,True,
재고가 있는 영화는 몇 편인가요?,SELECT COUNT(DISTINCT film_id) FROM inventory;,958,958,True,True,
카테고리는 총 몇 개인가요?,SELECT COUNT(*) FROM category;,16,16,True,True,
Store 1과 Store 2의 고객 수 차이는?,SELECT ABS((SELECT COUNT(*) FROM customer WHERE store_id = 1) - (SELECT COUNT(*) FROM customer WHERE store_id = 2));,53,53,True,True,
대여 횟수가 가장 많은 고객의 이름은?,SELECT first_name || ' ' || last_name FROM customer ORDER BY (SELECT COUNT(*) FROM rental r WHERE r.customer_id = customer.customer_id) DESC LIMIT 1;,Eleanor Hunt,Eleanor Hunt,True,True,
한 번도 대여하지 않은 고객은 몇 명인가요?,SELECT COUNT(*) FROM customer WHERE customer_id NOT IN (SELECT DISTINCT customer_id FROM rental);,0,0,True,True,
가장 많은 금액을 지불한 고객의 총 결제액은?,"SELECT ROUND(SUM(amount), 2) FROM payment WHERE customer_id = (SELECT customer_id FROM payment GROUP BY customer_id ORDER BY SUM(amount) DESC LIMIT 1);",211.55,211.55,True,True,
"주말(토,일)에 대여한 고객 수는?","SELECT COUNT(DISTINCT customer_id) FROM rental WHERE EXTRACT(DOW FROM rental_date) IN (0, 6);",599,599,True,True,
고객당 평균 대여 횟수는?,"SELECT ROUND(COUNT(*)::numeric / COUNT(DISTINCT customer_id), 2) FROM rental;",26.79,26.78,False,False,"Expected 26.79, got 26.78"
이메일 도메인이 'sakilacustomer.org'인 고객 수는?,SELECT COUNT(*) FROM customer WHERE email LIKE '%sakilacustomer.org';,599,599,True,True,
성과 이름이 같은 글자로 시작하는 고객 수는?,"SELECT COUNT(*) FROM customer WHERE LEFT(first_name, 1) = LEFT(last_name, 1);",27,30,False,False,"Expected 27, got 30"
평균 이상으로 대여한 고객은 몇 명인가요?,"SELECT COUNT(*) FROM (SELECT customer_id, COUNT(*) as cnt FROM rental GROUP BY customer_id HAVING COUNT(*) > (SELECT AVG(cnt) FROM (SELECT COUNT(*) as cnt FROM rental GROUP BY customer_id) sub)) sub2;",284,296,False,False,"Expected 284, got 296"
비활성 고객 비율은?,"SELECT ROUND((SELECT COUNT(*) FROM customer WHERE active = 0)::numeric / COUNT(*) * 100, 2) FROM customer;",2.5,2.50,False,False,"Expected 2.5, got 2.50"
결제 없이 대여만 한 고객은 몇 명인가요?,SELECT COUNT(DISTINCT customer_id) FROM rental WHERE customer_id NOT IN (SELECT DISTINCT customer_id FROM payment);,0,0,True,True,
가장 최근에 대여한 고객의 대여 날짜는?,SELECT MAX(rental_date)::date FROM rental;,2006-02-14,2006-02-14,True,True,
한 달에 10회 이상 대여한 적이 있는 고객 수는?,"SELECT COUNT(DISTINCT customer_id) FROM (SELECT customer_id, EXTRACT(YEAR FROM rental_date) as year, EXTRACT(MONTH FROM rental_date) as month, COUNT(*) as cnt FROM rental GROUP BY customer_id, year, month HAVING COUNT(*) >= 10) sub;",393,491,False,False,"Expected 393, got 491"
3개 이상의 카테고리 영화를 대여한 고객 수는?,SELECT COUNT(*) FROM (SELECT r.customer_id FROM rental r JOIN inventory i ON r.inventory_id = i.inventory_id JOIN film_category fc ON i.film_id = fc.film_id GROUP BY r.customer_id HAVING COUNT(DISTINCT fc.category_id) >= 3) sub;,599,599,True,True,
가장 오래된 고객 계정은 언제 생성되었나요?,SELECT MIN(create_date)::date FROM customer;,2006-02-14,2006-02-14,True,True,
Store 2에서 Store 1보다 고객이 몇 명 적나요?,SELECT (SELECT COUNT(*) FROM customer WHERE store_id = 1) - (SELECT COUNT(*) FROM customer WHERE store_id = 2);,53,53,True,True,
가장 많은 배우가 출연한 영화의 배우 수는?,SELECT COUNT(*) FROM film_actor WHERE film_id = (SELECT film_id FROM film_actor GROUP BY film_id ORDER BY COUNT(*) DESC LIMIT 1);,15,15,True,True,
배우가 한 명도 없는 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE film_id NOT IN (SELECT DISTINCT film_id FROM film_actor);,0,3,False,False,"Expected 0, got 3"
평균보다 긴 영화 중 대여료가 평균보다 저렴한 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE length > (SELECT AVG(length) FROM film) AND rental_rate < (SELECT AVG(rental_rate) FROM film);,162,156,False,False,"Expected 162, got 156"
'PG' 등급이면서 'Action' 카테고리인 영화는 몇 편인가요?,SELECT COUNT(*) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON fc.category_id = c.category_id WHERE f.rating = 'PG' AND c.name = 'Action';,30,9,False,False,"Expected 30, got 9"
제목이 'A'로 시작하는 영화 중 가장 긴 영화의 길이는?,SELECT MAX(length) FROM film WHERE title LIKE 'A%';,185,181,False,False,"Expected 185, got 181"
영화 길이의 표준편차는?,"SELECT ROUND(STDDEV(length)::numeric, 2) FROM film;",40.43,40.43,True,True,
대여료가 정확히 중간값인 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE rental_rate = (SELECT PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY rental_rate) FROM film);,323,323,True,True,
제목 길이가 가장 긴 영화의 글자 수는?,SELECT MAX(LENGTH(title)) FROM film;,27,27,True,True,
'R' 등급 영화의 평균 길이가 'G' 등급보다 몇 분 더 긴가요?,"SELECT ROUND((SELECT AVG(length) FROM film WHERE rating = 'R') - (SELECT AVG(length) FROM film WHERE rating = 'G'), 2);",3.42,7.61,False,False,"Expected 3.42, got 7.61"
가장 비싼 대여료와 가장 저렴한 대여료의 비율은?,"SELECT ROUND((SELECT MAX(rental_rate) FROM film) / (SELECT MIN(rental_rate) FROM film), 2);",5.04,5.04,True,True,
영화가 가장 많은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id GROUP BY c.name ORDER BY COUNT(fc.film_id) DESC LIMIT 1;,Sports,Sports,True,True,
영화가 가장 적은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id GROUP BY c.name ORDER BY COUNT(fc.film_id) ASC LIMIT 1;,Music,Music,True,True,
평균 길이가 가장 긴 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id GROUP BY c.name ORDER BY AVG(f.length) DESC LIMIT 1;,Sports,Sports,True,True,
평균 대여료가 가장 높은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id GROUP BY c.name ORDER BY AVG(f.rental_rate) DESC LIMIT 1;,Games,Games,True,True,
가장 많은 영화를 보유한 카테고리와 가장 적은 카테고리의 영화 수 차이는?,SELECT (SELECT COUNT(*) FROM film_category WHERE category_id = (SELECT category_id FROM film_category GROUP BY category_id ORDER BY COUNT(*) DESC LIMIT 1)) - (SELECT COUNT(*) FROM film_category WHERE category_id = (SELECT category_id FROM film_category GROUP BY category_id ORDER BY COUNT(*) ASC LIMIT 1));,18,23,False,False,"Expected 18, got 23"
재고가 가장 많은 영화의 재고 수는?,SELECT COUNT(*) FROM inventory WHERE film_id = (SELECT film_id FROM inventory GROUP BY film_id ORDER BY COUNT(*) DESC LIMIT 1);,8,8,True,True,
재고가 1개뿐인 영화는 몇 편인가요?,SELECT COUNT(*) FROM (SELECT film_id FROM inventory GROUP BY film_id HAVING COUNT(*) = 1) sub;,4,0,False,False,"Expected 4, got 0"
Store 1과 Store 2의 재고 차이는?,SELECT ABS((SELECT COUNT(*) FROM inventory WHERE store_id = 1) - (SELECT COUNT(*) FROM inventory WHERE store_id = 2));,1,41,False,False,"Expected 1, got 41"
대여 중인 재고의 비율은?,"SELECT ROUND((SELECT COUNT(*) FROM rental WHERE return_date IS NULL)::numeric / (SELECT COUNT(*) FROM inventory) * 100, 2);",3.99,3.99,True,True,
한 번도 대여되지 않은 재고는 몇 개인가요?,SELECT COUNT(*) FROM inventory WHERE inventory_id NOT IN (SELECT DISTINCT inventory_id FROM rental);,0,1,False,False,"Expected 0, got 1"
평균 이상으로 대여된 영화는 몇 편인가요?,"SELECT COUNT(*) FROM (SELECT i.film_id, COUNT(*) as cnt FROM inventory i JOIN rental r ON i.inventory_id = r.inventory_id GROUP BY i.film_id HAVING COUNT(*) > (SELECT AVG(cnt) FROM (SELECT COUNT(*) as cnt FROM inventory i2 JOIN rental r2 ON i2.inventory_id = r2.inventory_id GROUP BY i2.film_id) sub)) sub2;",477,475,False,False,"Expected 477, got 475"
재고가 없는 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE film_id NOT IN (SELECT DISTINCT film_id FROM inventory);,42,42,True,True,
대여가 한 번도 이루어지지 않은 영화는 몇 편인가요?,SELECT COUNT(*) FROM film f WHERE NOT EXISTS (SELECT 1 FROM inventory i JOIN rental r ON i.inventory_id = r.inventory_id WHERE i.film_id = f.film_id);,42,42,True,True,
가장 많이 대여된 영화의 제목은?,SELECT f.title FROM film f JOIN inventory i ON f.film_id = i.film_id JOIN rental r ON i.inventory_id = r.inventory_id GROUP BY f.title ORDER BY COUNT(r.rental_id) DESC LIMIT 1;,Bucket Brotherhood,Bucket Brotherhood,True,True,
가장 많이 대여된 영화의 대여 횟수는?,SELECT COUNT(*) FROM rental r JOIN inventory i ON r.inventory_id = i.inventory_id WHERE i.film_id = (SELECT i2.film_id FROM inventory i2 JOIN rental r2 ON i2.inventory_id = r2.inventory_id GROUP BY i2.film_id ORDER BY COUNT(*) DESC LIMIT 1);,34,34,True,True,
대여 중인 영화는 몇 편인가요?,SELECT COUNT(DISTINCT i.film_id) FROM inventory i JOIN rental r ON i.inventory_id = r.inventory_id WHERE r.return_date IS NULL;,169,169,True,True,
반납된 대여 건수는?,SELECT COUNT(*) FROM rental WHERE return_date IS NOT NULL;,15861,15861,True,True,
평균 대여 기간은 며칠인가요?,SELECT ROUND(AVG(EXTRACT(DAY FROM (return_date - rental_date)))) FROM rental WHERE return_date IS NOT NULL;,5,5,True,True,
