question,sql,expected,actual,match,error
배우는 총 몇 명인가요?,SELECT COUNT(*) FROM actor;,200,200,True,
고객은 총 몇 명인가요?,SELECT COUNT(*) FROM customer;,599,599,True,
도시는 몇 개 있나요?,SELECT COUNT(*) FROM city;,600,600,True,
국가는 몇 개 있나요?,SELECT COUNT(*) FROM country;,109,109,True,
영화는 총 몇 편인가요?,SELECT COUNT(*) FROM film;,1000,1000,True,
언어는 몇 개 등록되어 있나요?,SELECT COUNT(*) FROM language;,6,6,True,
성이 'Bergman'이고 이름이 'Liza'인 사람의 아이디는?,SELECT actor_id FROM actor WHERE last_name = 'Bergman' AND first_name = 'Liza';,121,121,True,
‘PG’ 등급 영화의 평균 대여기간은 며칠인가요?,SELECT AVG(rental_duration) FROM film WHERE rating = 'PG';,5.0,5.0824742268041237,False,"Expected 5.0, got 5.0824742268041237"
이름에 ‘oo’가 들어간 배우는 총 몇 명인가요?,SELECT COUNT(*) FROM actor WHERE first_name LIKE '%oo%';,9,3,False,"Expected 9, got 3"
‘ACADEMY DINOSAUR’ 영화의 대여료는 얼마인가요?,SELECT rental_rate FROM film WHERE title = 'ACADEMY DINOSAUR';,0.99,,False,"Expected 0.99, got None"
가장 많은 배우가 출연한 영화의 제목은?,SELECT f.title FROM film f JOIN film_actor fa ON f.film_id = fa.film_id GROUP BY f.title ORDER BY COUNT(fa.actor_id) DESC LIMIT 1;,Lambs Cincinatti,Lambs Cincinatti,True,
영화의 평균 대여료는 얼마인가요?,"SELECT ROUND(AVG(rental_rate), 2) FROM film;",2.98,2.98,True,
영화의 최대 대여료는 얼마인가요?,SELECT MAX(rental_rate) FROM film;,4.99,4.99,True,
영화의 최소 대여료는 얼마인가요?,SELECT MIN(rental_rate) FROM film;,0.99,0.99,True,
‘Comedy’ 카테고리 영화는 몇 편인가요?,SELECT COUNT(*) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Comedy';,58,58,True,
영화가 가장 많은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id GROUP BY c.name ORDER BY COUNT(fc.film_id) DESC LIMIT 1;,Sports,Sports,True,
대여 횟수가 가장 많은 고객의 이름은?,SELECT first_name || ' ' || last_name FROM customer ORDER BY (SELECT COUNT(*) FROM rental r WHERE r.customer_id = customer.customer_id) DESC LIMIT 1;,ELEANOR HUNT,Eleanor Hunt,True,
스태프는 몇 명인가요?,SELECT COUNT(*) FROM staff;,2,2,True,
스토어는 몇 개 있나요?,SELECT COUNT(*) FROM store;,2,2,True,
‘Action’ 카테고리 영화들의 평균 길이는 얼마인가요?,"SELECT ROUND(AVG(f.length), 2) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Action';",111.61,111.61,True,
평균보다 긴 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE length > (SELECT AVG(length) FROM film);,507,489,False,"Expected 507, got 489"
가장 많이 대여된 영화의 제목은?,SELECT f.title FROM film f JOIN inventory i ON f.film_id = i.film_id JOIN rental r ON i.inventory_id = r.inventory_id GROUP BY f.title ORDER BY COUNT(r.rental_id) DESC LIMIT 1;,Bucket Brotherhood,Bucket Brotherhood,True,
가장 많이 대여된 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id JOIN inventory i ON f.film_id = i.film_id JOIN rental r ON i.inventory_id = r.inventory_id GROUP BY c.name ORDER BY COUNT(r.rental_id) DESC LIMIT 1;,Sports,Sports,True,
가장 많이 대여한 고객의 총 대여 횟수는?,SELECT COUNT(*) FROM rental r WHERE r.customer_id = (SELECT customer_id FROM rental GROUP BY customer_id ORDER BY COUNT(*) DESC LIMIT 1);,46,46,True,
고객의 평균 결제 금액은 얼마인가요?,"SELECT ROUND(AVG(amount), 2) FROM payment;",4.2,4.20,False,"Expected 4.2, got 4.20"
얼마나 결제를 해야 전체 유저 중에서 상위 10%에 해당할까?,"SELECT percentile_disc(0.9) WITHIN GROUP (ORDER BY total_amount) AS top_10_percent_threshold FROM (SELECT customer_id, SUM(amount) AS total_amount FROM payment GROUP BY customer_id ) AS customer_totals;;",134.69,134.69,True,
결제가 가장 많이 일어난 시간대는?,"SELECT EXTRACT(HOUR FROM payment_date)::int AS hour_of_day, COUNT(*) AS payment_count FROM payment GROUP BY hour_of_day ORDER BY payment_count DESC LIMIT 1;",13,13,True,
대여가 한 번도 이루어지지 않은 영화는 몇 편인가요?,SELECT COUNT(*) FROM film f WHERE NOT EXISTS (SELECT 1 FROM inventory i JOIN rental r ON i.inventory_id = r.inventory_id WHERE i.film_id = f.film_id);,42,42,True,
평균 대여료가 가장 높은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id GROUP BY c.name ORDER BY AVG(f.rental_rate) DESC LIMIT 1;,Games,Games,True,
평균 길이가 가장 짧은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id GROUP BY c.name ORDER BY AVG(f.length) ASC LIMIT 1;,Sci-Fi,Sci-Fi,True,
주소는 총 몇 개인가요?,SELECT COUNT(*) FROM address;,603,603,True,
카테고리는 총 몇 개인가요?,SELECT COUNT(*) FROM category;,16,16,True,
전체 재고 수는?,SELECT COUNT(*) FROM inventory;,4581,4581,True,
전체 대여 건수는?,SELECT COUNT(*) FROM rental;,16044,16044,True,
전체 결제 건수는?,SELECT COUNT(*) FROM payment;,14596,14596,True,
'PG-13' 등급 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE rating = 'PG-13';,223,223,True,
'R' 등급 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE rating = 'R';,195,195,True,
대여료가 2.99인 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE rental_rate = 2.99;,323,323,True,
대여료가 4.99인 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE rental_rate = 4.99;,336,336,True,
영화 길이가 100분 이상인 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE length >= 100;,535,622,False,"Expected 535, got 622"
'Drama' 카테고리 영화는 몇 편인가요?,SELECT COUNT(*) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Drama';,62,62,True,
'Horror' 카테고리 영화는 몇 편인가요?,SELECT COUNT(*) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Horror';,56,56,True,
영화가 가장 적은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id GROUP BY c.name ORDER BY COUNT(fc.film_id) ASC LIMIT 1;,Music,Music,True,
평균 길이가 가장 긴 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id GROUP BY c.name ORDER BY AVG(f.length) DESC LIMIT 1;,Sports,Sports,True,
대여 기간이 7일인 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE rental_duration = 7;,203,191,False,"Expected 203, got 191"
대여 기간이 3일인 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE rental_duration = 3;,203,203,True,
영화 제목에 'LOVE'가 포함된 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE title LIKE '%LOVE%';,5,0,False,"Expected 5, got 0"
영화 제목에 'DRAGON'이 포함된 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE title LIKE '%DRAGON%';,3,0,False,"Expected 3, got 0"
출연 영화가 가장 많은 배우의 출연 영화 수는?,SELECT COUNT(*) FROM film_actor WHERE actor_id = (SELECT actor_id FROM film_actor GROUP BY actor_id ORDER BY COUNT(*) DESC LIMIT 1);,42,42,True,
출연 영화가 10편 이상인 배우는 몇 명인가요?,SELECT COUNT(*) FROM (SELECT actor_id FROM film_actor GROUP BY actor_id HAVING COUNT(*) >= 10) sub;,198,200,False,"Expected 198, got 200"
가장 많이 대여된 영화의 대여 횟수는?,SELECT COUNT(*) FROM rental r JOIN inventory i ON r.inventory_id = i.inventory_id WHERE i.film_id = (SELECT i2.film_id FROM inventory i2 JOIN rental r2 ON i2.inventory_id = r2.inventory_id GROUP BY i2.film_id ORDER BY COUNT(*) DESC LIMIT 1);,34,34,True,
대여 횟수가 30회 이상인 영화는 몇 편인가요?,SELECT COUNT(*) FROM (SELECT i.film_id FROM inventory i JOIN rental r ON i.inventory_id = r.inventory_id GROUP BY i.film_id HAVING COUNT(*) >= 30) sub;,237,32,False,"Expected 237, got 32"
평균보다 짧은 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE length < (SELECT AVG(length) FROM film);,511,511,True,
평균보다 비싼 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE rental_rate > (SELECT AVG(rental_rate) FROM film);,658,659,False,"Expected 658, got 659"
평균보다 저렴한 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE rental_rate < (SELECT AVG(rental_rate) FROM film);,342,341,False,"Expected 342, got 341"
대여 횟수가 20회 이상인 고객은 몇 명인가요?,SELECT COUNT(*) FROM (SELECT customer_id FROM rental GROUP BY customer_id HAVING COUNT(*) >= 20) sub;,520,558,False,"Expected 520, got 558"
대여 횟수가 30회 이상인 고객은 몇 명인가요?,SELECT COUNT(*) FROM (SELECT customer_id FROM rental GROUP BY customer_id HAVING COUNT(*) >= 30) sub;,273,178,False,"Expected 273, got 178"
대여 횟수가 40회 이상인 고객은 몇 명인가요?,SELECT COUNT(*) FROM (SELECT customer_id FROM rental GROUP BY customer_id HAVING COUNT(*) >= 40) sub;,46,7,False,"Expected 46, got 7"
총 결제 금액이 100달러 이상인 고객은 몇 명인가요?,SELECT COUNT(*) FROM (SELECT customer_id FROM payment GROUP BY customer_id HAVING SUM(amount) >= 100) sub;,503,296,False,"Expected 503, got 296"
총 결제 금액이 200달러 이상인 고객은 몇 명인가요?,SELECT COUNT(*) FROM (SELECT customer_id FROM payment GROUP BY customer_id HAVING SUM(amount) >= 200) sub;,10,2,False,"Expected 10, got 2"
'Action' 카테고리에서 가장 긴 영화의 길이는?,SELECT MAX(f.length) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Action';,185,185,True,
'Comedy' 카테고리에서 가장 짧은 영화의 길이는?,SELECT MIN(f.length) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Comedy';,46,47,False,"Expected 46, got 47"
'Drama' 카테고리 영화의 평균 대여료는?,"SELECT ROUND(AVG(f.rental_rate), 2) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Drama';",3.02,3.02,True,
'Sci-Fi' 카테고리 영화의 평균 길이는?,"SELECT ROUND(AVG(f.length), 2) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Sci-Fi';",108.2,108.20,False,"Expected 108.2, got 108.20"
재고가 있는 영화는 몇 편인가요?,SELECT COUNT(DISTINCT film_id) FROM inventory;,958,958,True,
재고가 없는 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE film_id NOT IN (SELECT DISTINCT film_id FROM inventory);,42,42,True,
대여 중인 영화는 몇 편인가요?,SELECT COUNT(DISTINCT i.film_id) FROM inventory i JOIN rental r ON i.inventory_id = r.inventory_id WHERE r.return_date IS NULL;,0,169,False,"Expected 0, got 169"
반납된 대여 건수는?,SELECT COUNT(*) FROM rental WHERE return_date IS NOT NULL;,15861,15861,True,
반납되지 않은 대여 건수는?,SELECT COUNT(*) FROM rental WHERE return_date IS NULL;,183,183,True,
활성 고객은 몇 명인가요?,SELECT COUNT(*) FROM customer WHERE active = 1;,584,584,True,
2005년에 발생한 대여 건수는?,SELECT COUNT(*) FROM rental WHERE EXTRACT(YEAR FROM rental_date) = 2005;,15844,15862,False,"Expected 15844, got 15862"
2006년에 발생한 대여 건수는?,SELECT COUNT(*) FROM rental WHERE EXTRACT(YEAR FROM rental_date) = 2006;,200,182,False,"Expected 200, got 182"
2월에 발생한 대여 건수는?,SELECT COUNT(*) FROM rental WHERE EXTRACT(MONTH FROM rental_date) = 2;,2474,182,False,"Expected 2474, got 182"
5월에 발생한 대여 건수는?,SELECT COUNT(*) FROM rental WHERE EXTRACT(MONTH FROM rental_date) = 5;,1156,1156,True,
7월에 발생한 대여 건수는?,SELECT COUNT(*) FROM rental WHERE EXTRACT(MONTH FROM rental_date) = 7;,6709,6709,True,
8월에 발생한 대여 건수는?,SELECT COUNT(*) FROM rental WHERE EXTRACT(MONTH FROM rental_date) = 8;,5705,5686,False,"Expected 5705, got 5686"
전체 매출은 얼마인가요?,"SELECT ROUND(SUM(amount), 2) FROM payment;",61312.04,61312.04,True,
평균 영화 길이는?,"SELECT ROUND(AVG(length), 2) FROM film;",115.27,115.27,True,
가장 긴 영화의 길이는?,SELECT MAX(length) FROM film;,185,185,True,
가장 짧은 영화의 길이는?,SELECT MIN(length) FROM film;,46,46,True,
