question,sql,expected,actual,match,error
배우는 총 몇 명인가요?,SELECT COUNT(*) FROM actor;,200,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
고객은 총 몇 명인가요?,SELECT COUNT(*) FROM customer;,599,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
도시는 몇 개 있나요?,SELECT COUNT(*) FROM city;,600,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
국가는 몇 개 있나요?,SELECT COUNT(*) FROM country;,109,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
영화는 총 몇 편인가요?,SELECT COUNT(*) FROM film;,1000,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
언어는 몇 개 등록되어 있나요?,SELECT COUNT(*) FROM language;,6,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
성이 'Bergman'이고 이름이 'Liza'인 사람의 아이디는?,SELECT actor_id FROM actor WHERE last_name = 'Bergman' AND first_name = 'Liza';,121,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
‘PG’ 등급 영화의 평균 대여기간은 며칠인가요?,SELECT AVG(rental_duration) FROM film WHERE rating = 'PG';,5.0,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
이름에 ‘oo’가 들어간 배우는 총 몇 명인가요?,SELECT COUNT(*) FROM actor WHERE first_name LIKE '%oo%';,9,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
‘ACADEMY DINOSAUR’ 영화의 대여료는 얼마인가요?,SELECT rental_rate FROM film WHERE title = 'ACADEMY DINOSAUR';,0.99,,False,"(psycopg2.OperationalError) connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  password authentication failed for user ""user""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
