question,category,difficulty,ground_truth_sql,generated_sql,exact_match,execution_match,valid_sql,error,generation_time,ground_truth_result,generated_result
전체 총 매출은 얼마인가요?,revenue_analysis,초급,"SELECT ROUND(SUM(amount), 2) FROM payment;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
고객의 평균 결제 금액은 얼마인가요?,revenue_analysis,초급,"SELECT ROUND(AVG(amount), 2) FROM payment;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
일별 평균 매출액은?,revenue_analysis,중급,"SELECT ROUND(AVG(daily_revenue), 2) FROM (SELECT DATE(payment_date) as date, SUM(amount) as daily_revenue FROM payment GROUP BY DATE(payment_date)) sub;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
매출 상위 10% 고객들이 전체 매출에서 차지하는 비율은?,revenue_analysis,고급,"WITH customer_revenue AS (SELECT customer_id, SUM(amount) as total FROM payment GROUP BY customer_id ORDER BY total DESC), top_10_percent AS (SELECT * FROM customer_revenue LIMIT (SELECT CAST(COUNT(*) * 0.1 AS INT) FROM customer_revenue)) SELECT ROUND(SUM(total) * 100.0 / (SELECT SUM(amount) FROM payment), 2) as contribution_pct FROM top_10_percent;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
결제 금액이 가장 높은 거래 TOP 5는?,revenue_analysis,초급,"SELECT payment_id, customer_id, amount, payment_date FROM payment ORDER BY amount DESC LIMIT 5;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
어떤 장르가 가장 많은 매출을 올렸나요?,revenue_analysis,중급,"SELECT c.name, ROUND(SUM(p.amount), 2) as revenue FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON fc.film_id = f.film_id JOIN inventory i ON f.film_id = i.film_id JOIN rental r ON i.inventory_id = r.inventory_id JOIN payment p ON r.rental_id = p.rental_id GROUP BY c.name ORDER BY revenue DESC LIMIT 1;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
매출이 가장 낮은 카테고리 3개는?,revenue_analysis,중급,"SELECT c.name, ROUND(SUM(p.amount), 2) as revenue FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON fc.film_id = f.film_id JOIN inventory i ON f.film_id = i.film_id JOIN rental r ON i.inventory_id = r.inventory_id JOIN payment p ON r.rental_id = p.rental_id GROUP BY c.name ORDER BY revenue ASC LIMIT 3;",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
VIP 고객(총 결제액 상위 5%) 명단을 보여주세요,customer_analysis,중급,"SELECT c.customer_id, c.first_name || ' ' || c.last_name as name, ROUND(SUM(p.amount), 2) as total_spent FROM customer c JOIN payment p ON c.customer_id = p.customer_id GROUP BY c.customer_id, c.first_name, c.last_name ORDER BY total_spent DESC LIMIT (SELECT CAST(COUNT(DISTINCT customer_id) * 0.05 AS INT) FROM payment);",,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
한 번만 대여하고 이탈한 고객은 몇 명인가요?,customer_analysis,중급,SELECT COUNT(*) FROM customer c WHERE (SELECT COUNT(*) FROM rental r WHERE r.customer_id = c.customer_id) = 1;,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
이메일 주소에 'gmail'이 포함된 고객은 몇 명인가요?,customer_analysis,초급,SELECT COUNT(*) FROM customer WHERE email LIKE '%gmail%';,,False,False,False,"Error code: 400 - {'error': {'message': ""'$.input' is invalid. Please check the API reference: https://platform.openai.com/docs/api-reference."", 'type': 'invalid_request_error', 'param': None, 'code': None}}",0,,
